timestamp_ms,bytes_read,bytes_written
0,462848,28581888
5604,561152,40296448
10942,137371648,77774848
16314,138457088,146948096
21800,139440128,216002560
27180,140505088,300453888
32682,141557760,385486848
38051,142606336,467673088
43410,143708160,567574528
48748,144838656,677380096
54190,146317312,816865280
59553,282791936,980013056
64908,553852928,1213407232
70249,690311168,1535709184
75615,828145664,1921785856
80978,965894144,2431279104
86352,1238978560,2924814336
91970,1375473664,3447533568
97329,1915863040,3946217472
102691,2323210240,4475633664
108044,2730123264,5225676800
113406,3375374336,5994942464
118779,3812528128,6676361216
124166,4355158016,7563370496
129535,4898717696,8572899328
134907,5570019328,9378000896
140313,6240436224,10138976256
145727,6776811520,10947002368
151117,7447396352,11901394944
156499,8159928320,12707983360
161898,9096560640,13754200064
167262,9917874176,14879014912
172699,10568503296,15854944256
178080,11449397248,16703320064
183477,12409946112,17582657536
188887,13268881408,18443603968
194316,14178856960,19318517760
199738,15092793344,20291088384
205172,16188829696,21128835072
210562,17085546496,22043619328
215947,18056458240,22774788096
221372,19024990208,23621750784
226765,19856449536,24685522944
232164,20961144832,25737482240
237691,21973712896,26727817216
243181,23009828864,27645083648
248590,23953526784,28457852928
253978,25095651328,29483012096
259351,25981976576,30730743808
264734,27128741888,31845507072
270138,27909541888,32722395136
275546,28899491840,33763172352
280936,29997072384,34922651648
286343,31023849472,35942883328
291794,32237424640,37033754624
297193,33570811904,38351843328
302602,34780766208,39442661376
308006,35695235072,40727441408
313478,37050630144,41817227264
319039,38285926400,43247198208
324632,39726292992,44961247232
330343,40987033600,45908320256
335949,42303574016,46957465600
341527,43659509760,48161972224
347091,44792676352,49372405760
352686,46307008512,50666082304
358301,47812747264,51631706112
363884,49221464064,52792815616
369446,50735980544,54010732544
375042,52170080256,55349792768
380604,53717471232,56517214208
386152,54932287488,57649217536
391759,56316747776,58567442432
397356,57879560192,59937972224
402972,59362050048,60902948864
408662,61100699648,62182871040
414284,62640537600,63671398400
419917,64839806976,64367882240
425501,65989066752,65615261696
431083,67739365376,66671591424
436648,69015146496,67896160256
442275,70686433280,69266690048
447864,72371265536,70129291264
453434,73610948608,71883825152
459036,75405152256,73065803776
464664,76908183552,74025140224
470309,78637842432,76457922560
475920,80176840704,77330677760
481504,81991380992,79068139520
487092,83530452992,80262987776
492694,85326958592,81214341120
498332,87040040960,82541232128
503920,89029738496,83784249344
509531,90647220224,84829970432
515035,92129353728,86349561856
520593,93910761472,87275438080
526218,95561318400,88255942656
531861,96938008576,89733128192
537486,98610515968,90616004608
543091,100644765696,91691712512
548670,102308622336,92945440768
554256,103744958464,94033313792
559883,105880887296,95238397952
565496,107314098176,96741478400
571101,109471895552,97818398720
576716,111356596224,98896592896
582291,112908406784,100381024256
587876,115013447680,101506240512
593462,117544710144,102635114496
599108,119131799552,103825797120
604684,121216180224,105332822016
610297,123521433600,106233110528
615892,125498175488,107701465088
621455,127424204800,109051088896
627026,129523757056,110323101696
632622,131723177984,111890423808
638239,133861851136,113216684032
643873,135971594240,114216697856
649451,138014949376,115244810240
655035,140056039424,117046874112
660711,142044164096,118239670272
666274,144066117632,119326113792
671909,145875574784,120710696960
677458,148156440576,122044645376
683122,150331404288,123330035712
688716,152164634624,124723298304
694274,154571882496,126279909376
699824,157135912960,127727435776
705426,159306178560,128967970816
711035,161148133376,130370416640
716586,163030413312,131773173760
722185,165868277760,132714135552
727770,167814991872,134262120448
733368,170374971392,135404015616
738931,172363534336,136809934848
744497,175225298944,138324705280
750071,177181442048,139520565248
755628,179631431680,140867301376
761140,181472542720,142155665408
766744,184531267584,143964487680
772360,187171733504,145228107776
777949,190044573696,147929612288
783539,192000774144,148304441344
789123,194573381632,149535731712
794661,196778672128,150760644608
800086,199998734336,151879872512
805489,203232108544,153195122688
810880,205780725760,154472505344
816290,208713789440,155788038144
821711,210456883200,156882448384
827117,213076336640,157971963904
832590,216666849280,158940430336
837995,218983116800,159979528192
843392,221643210752,161320099840
848795,224390381568,162563878912
854218,227003281408,163571777536
859639,229651312640,164437086208
865048,232880922624,164881031168
870435,235572744192,166145019904
875821,238111825920,167389536256
881231,240665186304,168588636160
886654,243223662592,169162891264
892078,245073887232,169913487360
897504,247275442176,170732343296
902921,249540968448,171497463808
908346,252350676992,172185960448
913776,254018719744,172894883840
919209,255682203648,173849366528
924625,257463132160,174699651072
930041,259503980544,175689883648
935443,261341483008,176517758976
940847,263311908864,177386504192
946272,264760479744,178411442176
951701,266692403200,179371134976
957120,269324414976,180411097088
962584,270847238144,181067202560
968069,272280989696,182047485952
973579,273995599872,183084261376
979070,276441427968,183960694784
984514,277503860736,184600875008
989933,279214850048,186012262400
995338,280887025664,187434778624
1000752,282808057856,188366372864
1006197,284402585600,189306376192
1011605,286541901824,190433742848
1017020,287881891840,191580364800
1022431,290162212864,192857276416
1027869,291445473280,193759989760
1033269,293133422592,194550591488
1038705,294848110592,195352846336
1044190,297106821120,196400046080
1049587,299005648896,197700079616
1055005,300823994368,198723035136
1060417,302465253376,199628156928
1065875,304154439680,200430161920
1071340,305918873600,201965715456
1076747,308240355328,203084685312
1082175,309859983360,204331966464
1087619,311650496512,204727590912
1093045,313635758080,206132109312
1098576,315702366208,207533871104
1104202,316908396544,208749088768
1109818,319549988864,209541771264
1115436,320805171200,210522853376
1121017,322716295168,211718897664
1126589,324783017984,212804931584
1132229,327203352576,214305595392
1137850,328978096128,215523299328
1143445,330340720640,216664252416
1149078,332710686720,217109053440
1154712,335254138880,218532687872
1160253,337496604672,219799961600
1165853,339528491008,220889427968
1171470,342298144768,221658284032
1177030,344015110144,222480498688
1182621,345651245056,223196622848
1188212,348129796096,224188014592
1193786,350062694400,225578651648
1199344,352592216064,226796486656
1204921,354124353536,227968430080
1210531,356392370176,228790059008
1216136,357820866560,229725794304
1221677,359795040256,230940925952
1227269,361810022400,232285319168
1232847,363687854080,233545809920
1238411,365949370368,234558410752
1243972,368307044352,236183273472
1249585,370694488064,237571829760
1255187,372753334272,238203949056
1260745,374951075840,239299960832
1266294,376379265024,240660615168
1271879,378923859968,242185302016
1277486,380698841088,243009527808
1283082,383197245440,244113338368
1288649,385287188480,245467508736
1294230,388251746304,246932287488
1299819,390892466176,248303742976
1305462,393048535040,249271812096
1311052,395327291392,250146697216
1316653,397904646144,251483238400
1322253,400728784896,252181659648
1327839,402516738048,252324052992
1333370,404746461184,254495358976
1338939,406911549440,255335940096
1344505,409469362176,256029847552
1350094,412885811200,257372803072
1355593,416470949888,258764390400
1361179,419194740736,259442036736
1366770,422338306048,260150362112
1372399,425553600512,260708139008
1377926,428765736960,263035588608
1383418,431575384064,264293871616
1388996,435101294592,265517170688
1394616,438962712576,266275225600
1400200,442447233024,266848980992
1405768,445490958336,268046995456
1411312,448530067456,269251289088
1416902,451561775104,270737731584
1422475,455030444032,271445364736
1428119,458620837888,272008974336
1433700,461816795136,273208631296
1439293,464942301184,274066448384
1444867,467081695232,275077062656
1450418,468620685312,275077062656
1455904,472244043776,276806918144
1461451,475683389440,277436252160
1466989,480220422144,278561644544
1472583,484102164480,279337943040
1478124,487850758144,279986462720
1483688,491546779648,281180688384
1489279,495060287488,281794719744
1494849,498893488128,283160920064
1500451,502843977728,284039958528
1506035,506974834688,284449439744
1511590,510551060480,285273657344
1517188,514473005056,285529899008
1522745,518120583168,286592647168
1528319,522017992704,286977544192
1533892,525092171776,288628035584
1539444,529261174784,289238212608
1545044,533059416064,290885988352
1550661,536801660928,291649978368
1556214,541565374464,292450107392
1561812,545829609472,293199745024
1567350,549228847104,294790852608
1572958,552159084544,296095379456
1578555,555849293824,297250316288
1584092,559990063104,297936142336
1589668,562811678720,299209826304
1595233,566451765248,300165328896
1600825,570604150784,301508837376
1606410,573826011136,302912401408
1611989,577261961216,303718416384
1617594,581282369536,304136249344
1623110,584652038144,305523814400
1628672,587956617216,306693484544
1634252,591812431872,307898470400
1639812,595232002048,309291204608
1645409,599155232768,310082437120
1650974,602763718656,310538190848
1656583,605908103168,311636086784
1662135,609472380928,312709767168
1667710,613197127680,314181742592
1673298,616822681600,315465768960
1678866,620711661568,316609552384
1684444,624351256576,317349806080
1689995,628304310272,318225674240
1695574,632576499712,319130181632
1701140,636101971968,320407891968
1706699,639918260224,321656856576
1712278,643514195968,323104976896
1717856,647740448768,324077113344
1723477,651902189568,325011722240
1729075,655861518336,325251432448
1734650,659629359104,326673686528
1740250,663473430528,327722807296
1745807,667408928768,328978833408
1751337,671515619328,330204409856
1756900,675374477312,331639406592
1762465,679216390144,332746379264
1768063,683760254976,333128638464
1773655,687580839936,334331883520
1779273,692078952448,334481977344
1784817,695399632896,336227250176
1790370,700172648448,336835411968
1795912,704122322944,337963171840
1801515,708950073344,338767642624
1807074,712350896128,339736272896
1812745,716630487040,340069691392
1818299,720397524992,341517578240
1823873,724275322880,342585577472
1829432,728224395264,343911464960
1835038,732046053376,344870760448
1840607,735695314944,346124374016
1846154,739516329984,347398488064
1851696,743521599488,347718897664
1857223,748120854528,349186457600
1862866,751204638720,350133518336
1868444,755080404992,351822155776
1874001,758957162496,352712994816
1879591,763062714368,353950400512
1885175,766481707008,354909696000
1890743,770672984064,355314651136
1896345,774773174272,356797276160
1901906,778314985472,357858004992
1907455,782063529984,359072886784
1913006,786265923584,360212631552
