timestamp_ms,bytes_read,bytes_written
0,1544192,9379840
5351,1622016,49012736
10693,137986048,94404608
16176,139071488,165498880
21663,140058624,234033152
27086,141287424,311230464
32457,142422016,397778944
37909,143618048,494206976
43344,144801792,605614080
48900,146280448,723922944
54266,282423296,870158336
59729,420003840,1144250368
65126,691060736,1468604416
70504,828915712,1862180864
75895,967073792,2370203648
81261,1240330240,2866135040
86658,1511239680,3439497216
92206,2052288512,4017676288
97783,2595131392,4753436672
103363,3136634880,5551165440
108933,3678572544,6405865472
114451,4220510208,7182237696
119968,4899966976,8109129728
125549,5570781184,9024880640
131059,6240948224,9846779904
136581,6911594496,10727186432
142211,7582257152,11743756288
147733,8387592192,12778545152
153267,9058844672,14046400512
158814,9595711488,15260758016
164384,10309677056,16204652544
169927,11158630400,17118756864
175527,12166717440,18088955904
181092,13034512384,19017019392
186687,14040506368,20005851136
192212,14957432832,20755021824
197806,16035147776,21731647488
203351,17011097600,22584631296
208965,18186829824,23534411776
214533,19255197696,24996204544
220099,20267278336,25891373056
225632,21468930048,26918211584
231215,22566682624,27859333120
236793,23519940608,28955668480
242413,24679034880,30156701696
247959,25902518272,31464005632
253501,26841284608,32524292096
259050,28154408960,33728593920
264638,29206208512,34863505408
270208,30394265600,36280033280
275808,31653187584,37429317632
281390,32876204032,38588321792
287026,34282135552,40129642496
292583,35496685568,41187848192
298225,36854214656,42746490880
303781,38484168704,44029366272
309370,39698989056,45100244992
314938,41017352192,46319185920
320520,42355597312,47508135936
326105,43853455360,48818794496
331681,45335236608,49989791744
337268,46786850816,50844151808
342858,48091021312,52294549504
348481,49579773952,53574369280
354030,51046891520,54859964416
359639,52792156160,56247005184
365273,54367031296,57570844672
370848,55738032128,58583203840
376515,57383194624,59650523136
382133,59169112064,60940644352
387712,60664279040,62523437056
393303,62637584384,63414439936
398864,64008015872,65042841600
404462,65867710464,66186076160
410023,67260493824,67476291584
415605,68927647744,68771876864
421236,70617960448,69676843008
426794,71871262720,71465271296
432375,73776771072,72546697216
437990,75210113024,75064569856
443583,77064970240,76077735936
449137,78874263552,77101129728
454690,80426070016,79205822464
460274,82135822336,80164642816
