timestamp_ms,bytes_read,bytes_written
0,57516032,53248
5201,194682880,83099648
10498,200450048,319000576
15794,348991488,733175808
21090,801882112,1547575296
26415,1083465728,2673344512
31764,1487282176,3889168384
37136,2292305920,5165735936
42505,3097202688,6354128896
47873,3767775232,7878152192
53253,4438151168,9383108608
58637,5376958464,10433245184
64046,6181675008,11731935232
69408,7088656384,13267255296
74767,8095465472,14380535808
80145,9200787456,16115380224
85524,10174980096,17735770112
90897,11250237440,19042729984
96265,12129787904,20332793856
101686,13383630848,21458317312
107087,14195118080,22441312256
112464,15258116096,23585165312
117848,16312147968,25173422080
123237,17563217920,26360770560
128660,18642534400,27520258048
134074,20200452096,29161721856
139444,21651906560,30437478400
144858,23233937408,31898619904
150277,24945229824,33151688704
155644,26245267456,34408157184
161078,27336470528,35596759040
166492,28928577536,36592574464
171906,30382231552,37721620480
177282,31779069952,39161200640
182704,32868880384,40123748352
188127,34350383104,41103806464
193557,35812786176,42591350784
198944,37153476608,43758354432
204346,38478639104,44745207808
209740,40085757952,46117076992
215119,41443241984,47214927872
220526,44420866048,48657956864
225910,45654368256,50482049024
231315,48007286784,51730120704
236707,50149564416,53497909248
242117,52036255744,54102466560
247501,54613676032,55557050368
252915,56221786112,56145125376
258304,58106056704,57747243008
263752,59834109952,58590216192
269143,61362520064,60047007744
274579,63435472896,61016641536
279987,65035821056,61964800000
285413,67037900800,62753517568
290834,68251717632,63998713856
296228,70483447808,65134751744
301632,72142868480,66321301504
307072,74721726464,67639279616
312458,76989972480,68061859840
317837,78537842688,70684352512
323196,80875622400,71654096896
328574,83519201280,72644509696
333962,85504589824,73245564928
339348,87234789376,74400993280
344719,89723805696,75756822528
350126,91695759360,76228878336
355526,93215412224,77475606528
360938,95613779968,78518341632
366368,98373279744,79275573248
371775,99295035392,79668412416
377165,101266509824,80893415424
382576,104200679424,82158071808
387974,106316394496,82684530688
393370,108935618560,83992215552
398750,111079690240,84826365952
404134,113044889600,85233422336
409545,115525668864,86457126912
414958,118288175104,87970000896
420373,120808759296,88361926656
425749,123943403520,89068154880
431162,126084857856,89911349248
436557,127053316096,91589890048
441910,130616672256,92359479296
447307,133224177664,93420630016
452696,135544266752,94761467904
458099,138116419584,95193944064
463506,140246114304,95834042368
468911,143146201088,97144836096
474307,146177314816,98891563008
479837,149353074688,99325440000
485400,152317702144,99706380288
490968,154084081664,102194049024
496536,156557619200,102194180096
502016,159564333056,103525814272
507548,162338623488,104708681728
513101,165428932608,105428475904
518675,167844478976,105711828992
524161,170723131392,106938822656
529691,174075756544,107907682304
535251,177067659264,108807565312
540840,180048695296,109270941696
546388,182245265408,109932339200
551926,185626738688,110857629696
557426,189087854592,112115245056
563015,191900225536,113069248512
568605,195067129856,113457475584
574225,197420883968,114078535680
579791,201562648576,114986856448
585374,205669707776,116205936640
590957,208778067968,116860895232
596545,211621396480,117208723456
602085,214347800576,118251356160
607647,218560319488,119437500416
613225,221873750016,120636817408
618805,225903943680,121478598656
624430,229247655936,121980473344
629953,232748969984,123274268672
635532,236257447936,124214255616
641081,239837978624,125311954944
646629,243591954432,125987205120
652214,246406078464,126504472576
657738,249750904832,127702921216
663281,253793832960,128779313152
668833,258072248320,129465851904
674370,261999476736,130514681856
679906,265765871616,130833297408
685459,266982768640,131405676544
691033,267714695168,132074192896
696533,269376839680,132385849344
702015,273260728320,134285033472
707516,276968632320,134285148160
713044,280373727232,135675113472
718571,284533465088,136781197312
724109,288679919616,138049945600
729689,293397524480,138369753088
735277,297331892224,138888601600
740827,300703096832,140175654912
746386,305406685184,141185007616
751993,309946425344,142124830720
757576,314773901312,142814892032
763142,318086594560,143271718912
768731,321514106880,144122163200
774345,325447405568,145138274304
779863,329897816064,146449428480
785391,334794063872,147754266624
790961,338656927744,148644327424
796510,342990532608,148923142144
802005,347458945024,150124531712
807518,352298504192,151355555840
813026,356718428160,152713293824
818519,361556926464,153021411328
824057,365391147008,153472864256
829624,368449634304,154669498368
835242,373120475136,155544154112
840839,378473926656,156635631616
846423,383159435264,158037680128
851975,388779393024,158189309952
857519,393242759168,158667079680
863089,396564566016,159186567168
868563,401441636352,160215420928
874108,405707911168,161192456192
879686,410843140096,162066292736
885241,415443378176,163031711744
890708,420696637440,163873771520
896325,423740919808,164325384192
901841,427962265600,164325482496
907363,431718596608,165807054848
912875,436472680448,166046158848
918417,441450897408,167759343616
923967,446852599808,168167251968
929461,451492491264,169620688896
935026,456415096832,170394112000
940636,460233146368,170789392384
946155,464467861504,170789474304
951642,469047836672,172310568960
957185,474031947776,172434325504
962735,477386760192,174007078912
968256,482464878592,174437605376
973811,487683018752,174469152768
979385,491876548608,174819794944
984933,495081730048,176199696384
990405,499950641152,178309201920
995966,503739068416,178309300224
1001548,507911372800,178705129472
1007056,511455866880,179624456192
1012641,516198416384,180247179264
1018200,520878206976,180748763136
1023728,526138585088,181020000256
1029299,530062962688,182113300480
1034822,534389981184,182382776320
1040347,536902549504,182679339008
1045941,538335084544,184111693824
1051522,540183199744,185651789824
1056972,544684056576,185651855360
1062485,548706004992,185782374400
1068099,552661180416,186937327616
1073708,556192980992,187469074432
1079214,560655278080,187739267072
1084805,564311310336,188789768192
1090325,568176295936,189251076096
1095925,571153100800,189760651264
1101512,574380806144,190198693888
1107031,578638643200,191283851264
1112607,583036497920,191574044672
1118128,585638817792,192033976320
1123719,587415703552,193398456320
1129215,592253657088,195191828480
1134728,596071145472,195191848960
1140262,600184606720,196239970304
1145854,604036591616,196730339328
1151435,607753695232,197334523904
1157008,611792285696,197334605824
1162567,615437967360,198756446208
1168115,620334886912,198961086464
1173706,623978889216,199619682304
1179286,627856609280,199719354368
1184852,631983583232,201034727424
1190381,635579932672,201411248128
1196001,639452786688,201889972224
1201515,642433966080,202516496384
1207034,647177117696,203671175168
1212635,651730513920,203793637376
1218218,655365525504,204576219136
1223794,658857988096,204596191232
1229381,663436574720,206047973376
1235003,667352100864,206189322240
1240563,670445547520,206798053376
1246057,674646319104,206798135296
1251635,677849583616,207547658240
1257171,682413375488,208448278528
1262708,687111593984,208487768064
1268275,691129356288,209401823232
1273868,696274042880,209401905152
1279335,700742316032,210263465984
1284906,705636425728,210928435200
1290473,710799151104,210928517120
1296005,715221041152,211807313920
1301593,720266043392,211973758976
1307134,724404318208,212889612288
1312725,729316003840,213193822208
1318285,734666948608,213976129536
1323859,739773841408,214466076672
1329396,744521777152,215029051392
1334921,750782472192,215834681344
1340508,755948109824,215917191168
1346076,760989470720,216746442752
1351634,765375475712,216958246912
1357135,770765320192,218131079168
1362731,776476532736,218131161088
1368282,780577980416,219969634304
1373756,787293609984,220029394944
1379294,793378381824,220029476864
1384791,798797463552,220955873280
1390319,804345114624,221345738752
1395898,808263032832,221836664832
1401444,812997349376,222189576192
1407000,816548302848,223081730048
1412504,821774069760,223517233152
1418161,825213882368,223989739520
1423716,830821285888,225001836544
1429215,836728492032,225001918464
1434760,842111234048,225968586752
1440288,847586791424,226735050752
1445901,852152348672,227310317568
1451475,857587089408,227414437888
1457058,862224216064,228508606464
1462620,868169654272,228533817344
1468141,872740610048,229785518080
