timestamp_ms,bytes_read,bytes_written
0,843776,3530752
5344,136601600,18194432
10773,139108352,130232320
16110,141996032,253526016
21518,143978496,401108992
26890,146702336,576303104
32269,153321472,760786944
37655,302342144,1040101376
43001,603938816,1496838144
48325,890224640,2016382976
53660,1028018176,2722668544
59001,1296814080,3341066240
64339,1699155968,4041887744
69689,2235535360,4968304640
75018,2772156416,5710647296
80373,3308752896,6584602624
85694,3845271552,7553888256
91030,4382015488,8671490048
96341,5052792832,9730850816
101697,5723475968,10669096960
107021,6527750144,11390222336
112377,7198416896,12673290240
117730,7869063168,13514272768
123092,8623247360,15223447552
128500,9425264640,16676855808
133842,10194358272,17813835776
139216,10906816512,18647658496
144571,11506790400,19611705344
149919,12296261632,20623159296
155292,13218709504,21610344448
160640,14020734976,22383779840
166007,14984896512,24110223360
171394,15867052032,24845914112
176746,16851705856,25702633472
182100,17890729984,26642685952
187449,19099967488,28149780480
192867,19966586880,30031994880
198263,20955766784,31070306304
203637,21872050176,32054947840
208992,22933336064,33064402944
214362,24125816832,34065973248
219746,25094512640,35249688576
225124,26305036288,36352024576
230470,27207626752,37581131776
235820,28233191424,38427193344
241212,29371756544,39781888000
246579,30519009280,40880889856
251945,31722508288,41731284992
257322,32650231808,42801557504
262703,33824997376,45599535104
268083,35131764736,46565052416
273463,36096675840,49051713536
278845,37258092544,50465280000
284206,38395621376,51743264768
289566,39872626688,52861841408
294944,41074098176,53697204224
300309,42376376320,54614421504
305698,43757142016,55865933824
311063,45287653376,57052495872
316440,46342168576,57937211392
321824,47886094336,59106435072
327186,48868577280,60249886720
332554,50434326528,61487464448
337926,51547344896,65101750272
343286,52983103488,65904590848
348663,54545670144,66907856896
354047,55788470272,67788255232
359488,57299152896,68904882176
365039,58820321280,70165757952
370636,60423741440,71099731968
376202,62006886400,72247480320
381738,63654256640,73582768128
387287,65150619648,74865958912
392862,67104190464,76095963136
398456,68434710528,77112725504
404019,70126227456,78231932928
409610,71980392448,79185084416
415154,73215893504,80008282112
420718,74819592192,81391206400
426300,76451991552,85528272896
431913,78194225152,87260741632
437469,80184631296,88538021888
443087,81893867520,89496600576
448698,83688448000,91017256960
454238,85299916800,92274167808
459822,87361200128,94725169152
465371,89175085056,95895912448
470901,91458195456,97041522688
476453,93317677056,98058129408
482004,95166025728,99490451456
487570,97178914816,100550901760
493119,98807017472,101625266176
498658,100706910208,102308782080
504169,102281736192,103579316224
509748,104141131776,104424841216
515308,105789476864,105536004096
520894,107622731776,106626887680
526436,109916618752,107828531200
532012,111368892416,108828848128
537596,113060515840,109939732480
543168,115271606272,111092514816
548763,116901146624,112215465984
554353,118874247168,113476681728
559934,120936611840,114722172928
565505,122695503872,115536740352
571101,124911505408,116932116480
576639,126944104448,118501326848
582228,129926856704,119757246464
587751,132225769472,121579065344
593269,134723436544,125439188992
598796,137265721344,126680883200
604350,139756617728,127831494656
609959,142421610496,129267273728
615519,145061330944,130190020608
621092,147357286400,131354017792
626645,150170738688,132351954944
632200,152140767232,133275258880
637777,154631360512,134552043520
643330,156854816768,135755087872
648910,158823436288,137208074240
654471,161289904128,138157010944
660044,163440054272,139661348864
665613,165484920832,140722774016
671194,167711653888,142172876800
676742,170496606208,143340191744
682318,172749008896,144709840896
687886,175789432832,146276986880
693461,178298900480,146876608512
698990,180488839168,147831037952
704546,182164422656,149271883776
710080,184394862592,150722887680
715629,187493548032,151765295104
721219,189544701952,152702418944
726742,191933612032,153760071680
732335,194235748352,155005952000
737886,197216415744,156200620032
743428,198901596160,157618667520
748975,202101309440,158846959616
754543,204260503552,160051261440
760133,207571714048,161846448128
765642,210244235264,162911891456
771212,212295405568,165285457920
776707,214395420672,166098518016
782215,217480126464,167424475136
787766,220781154304,168528506880
793301,223476129792,169555329024
798837,226725019648,170592940032
804405,229473923072,171346583552
809928,232222408704,171838648320
815523,234086703104,176813015040
821161,236913250304,176813015040
826680,240418689024,178277597184
832226,242740772864,179674636288
837761,245769621504,180569870336
843328,249474396160,181336170496
848824,251990773760,182822359040
854359,255380525056,183876476928
859872,258982440960,184981921792
865462,261942886400,185610948608
871016,264115945472,187158450176
876549,266679205888,190116057088
882098,269988134912,190858711040
887680,272969818112,191452884992
893232,276514897920,192228642816
898767,279592906752,193145548800
904315,282262921216,193877217280
909890,285359091712,194694885376
915449,288321916928,195592941568
920997,291458408448,196498464768
926554,293375234048,197134225408
932095,295864733696,197810270208
937649,298529685504,198335696896
943183,301492781056,199075553280
948725,303702327296,199972675584
954315,305735286784,200786231296
959903,308021157888,201556578304
965490,310530039808,201751347200
971013,313277538304,202893668352
976567,315191713792,203870142464
982132,317860294656,204455178240
987682,319964266496,205346541568
993270,322812866560,206184919040
998847,325016092672,207320494080
1004437,327062237184,208487432192
1010031,329058443264,209019383808
1015618,331583467520,210165239808
1021164,334248587264,211020455936
1026746,335526547456,211967004672
1032335,337521553408,212877303808
1037873,339351560192,214015598592
1043430,341040500736,214946652160
1049021,343227916288,215867764736
1054666,345060167680,216958365696
1060273,346944147456,217808252928
1065908,348710731776,219118227456
1071488,350878449664,220111081472
1077051,352577433600,221001134080
1082596,354197659648,222307430400
1088118,356037447680,223461683200
1093666,358454013952,224454172672
1099268,360355217408,225231257600
1104893,362596143104,225941721088
1110435,364573122560,227257425920
1116014,366909960192,227994238976
1121484,370662453248,228554567680
1127047,372990889984,228554567680
1132626,374845714432,230021001216
1138191,376127823872,230021001216
1143657,377165975552,233509826560
1149174,380414722048,233509826560
1154757,383826034688,233509826560
1160330,387060219904,233509826560
