timestamp_ms,bytes_read,bytes_written
1,8445952,3538944
5343,144465920,14589952
10721,146825216,130580480
16072,149757952,266706944
21453,151658496,400719872
26796,153907200,578084864
32162,160768000,781381632
37513,312246272,1081778176
42830,615165952,1569644544
48164,898469888,2032476160
53522,1036922880,2753454080
58875,1306390528,3416338432
64235,1709150208,4087181312
69573,2245582848,5043908608
74938,2782138368,5838426112
80280,3452661760,6688014336
85608,3989135360,8061988864
90950,4525613056,9063768064
96297,5330341888,9981108224
101646,6000599040,10805436416
107018,6805196800,12106235904
112375,7475621888,13085925376
117713,8146735104,14641590272
123117,8925802496,16009875456
128472,9805127680,17407909888
133871,10437410816,18382028800
139234,11347091456,19272880128
144641,12122951680,20284571648
150010,12894265344,21293486080
155365,13822017536,22327033856
160748,14801698816,24020963328
166082,15917780992,24875978752
171482,16901263360,25773572096
176844,18087112704,26744659968
182210,19155034112,28336738304
187598,20251623424,30078955520
193001,21485731840,31262699520
198378,22711468032,32380211200
203772,23536820224,33475645440
209128,24507580416,34713219072
214471,25539997696,35788451840
219884,26616840192,36962394112
225232,27814449152,38056624128
230601,28834979840,39344291840
235950,30033965056,40463843328
241352,31213371392,41584996352
246926,32429412352,42652672000
252483,33593212928,45656981504
258003,35017195520,46749855744
263619,36233715712,49597005824
269134,37590876160,51040845824
274663,39023755264,52200689664
280186,40244674560,53175873536
285706,41688293376,54213496832
291204,42995257344,55754489856
296758,44447473664,56833007616
302325,46000562176,57873240064
307887,47415119872,58896105472
313447,48875016192,60321173504
318991,50188419072,61461393408
324634,51496935424,65145483264
330200,52846137344,66349404160
335723,54373187584,67421995008
341300,55844564992,68616065024
346876,57512415232,69912219648
352411,59254870016,70821253120
357928,60759044096,72163786752
363482,62870138880,73192501248
369041,63902773248,74288644096
374615,65752551424,75476205568
380198,67081117696,76436013056
385774,68706791424,77898674176
391369,70528458752,78852128768
396872,71589531648,79946502144
402452,73608679424,81401831424
408024,75312353280,85334790144
413618,77325139968,87588397056
419161,79257051136,88862384128
424732,81150918656,89629122560
430293,82656776192,91235020800
435898,84886401024,92327280640
441442,86916988928,95189852160
446980,88944603136,96230121472
452540,90833260544,97761144832
